,name,id,smiles,formula
0,(r)-warfarin,DB08496,CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4
1,(s)-warfarin,DB14055,CC(=O)C[C@@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4
2,"1,25(oh)2d3",None,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,None
3,25-dihydroxycholecalciferol d3,DB00169,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,C27H44O
4,4-methylpyrazole,DB01213,CC1=CNN=C1,C4H6N2
5,5-fu,DB00544,C1=C(C(=O)NC(=O)N1)F,C4H3FN2O2
6,5-fluorouracil,DB00544,C1=C(C(=O)NC(=O)N1)F,C4H3FN2O2
7,6-mp,DB01033,C1=NC2=C(N1)C(=S)N=CN2,C5H4N4S
8,6-mercaptopurine,DB01033,C1=NC2=C(N1)C(=S)N=CN2,C5H4N4S
9,6-thiouric acid,DB08844,C12=C(NC(=O)N1)NC(=O)NC2=O,C5H4N4O3
10,99mtc-mdp,None,C(P(=O)([O-])[O-])P(=O)([O-])[O-].[OH3+].[OH3+].[99Tc+4],None
11,99mtc-methylene diphosphonate,DB12231,COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC,C16H20O6P2S3
12,acth,DB01285,None,C207H308N56O58S
13,adl 8-2698,None,C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O,None
14,adl-8-2698,None,C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O.O.O,None
15,alcohol,DB00898,CCO,C2H6O
16,asa,DB00945,CC(=O)OC1=CC=CC=C1C(=O)O,C9H8O4
17,aza,DB00122,C[N+](C)(C)CCO,C5H14NO
18,abacavir,DB01048,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,C14H18N6O
19,abciximab,DB00054,None,C6462H9964N1690O2049S48
20,acamprosate,DB00659,CC(=O)NCCCS(=O)(=O)O,C5H11NO4S
