,name,id,smiles,formula
0,(+)-nanm,None,C[C@@H]1[C@@H]2CC3=C([C@]1(CCN2CC=C)C)C=C(C=C3)O,None
1,(-)-nanm,None,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C)C)C=C(C=C3)O,None
2,(-)-erythro-fluorocitrate,None,None,None
3,(2-adamantyl)hexamethylenimine,None,None,None
4,"1,3-difluoro-2-propanol",DB00742,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,C6H14O6
5,"1,3-difluoroacetone",DB00609,CCC1=NC=CC(=C1)C(=S)N,C8H10N2S
6,1-aminobenzotriazole,DB00819,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,C4H6N4O3S2
7,"1-methyl-4-phenyl-1,2,3,4-tetrahydropyridine",DB00898,CCO,C2H6O
8,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",DB00898,CCO,C2H6O
9,"1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine",DB00898,CCO,C2H6O
10,14- hydroxy- clarithromycin,DB00778,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C41H76N2O15
11,"16,16-dimethylprostaglandin e2",DB00649,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,C10H12N2O4
12,18-mc,None,COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,None
13,18-methoxycoronaridine,DB15096,COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,C22H28N2O3
14,25-o-desacetyl metabolites,None,None,None
15,25-o-desacetylrifabutin,DB00615,C[C@H]1/C=C/C=C(\C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)/C,C46H62N4O11
16,3-deazaneplanocin a,None,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N,None
17,3-hydroxydesloratadine,DB00455,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,C22H23ClN2O2
18,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",DB00819,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,C4H6N4O3S2
19,3-hydroxy levobupivacaine,DB00297,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,C18H28N2O
20,3h-spiroperidol,None,None,None
21,4-hydroxy-estazolam,DB00778,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C41H76N2O15
22,4-hydroxyatomoxetine,DB00289,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,C17H21NO
23,4-hydroxytamoxifen,DB04468,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,C26H29NO2
