,name,id,smiles,formula
0,abilify,DB01238,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,C23H27Cl2N3O2
1,aceon,DB00790,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,C19H32N2O5
2,aczone,DB00250,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,C12H12N2O2S
3,aggrastat,DB00775,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O,C22H36N2O5S
4,akineton,DB00810,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,C21H29NO
5,alfenta,DB00802,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,C21H32N6O3
6,alimta,DB00642,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,C20H21N5O6
7,alkeran,DB01042,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,C13H18Cl2N2O2
8,allegra,DB00950,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,C32H39NO4
9,alphagan p,DB00484,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,C11H10BrN5
10,altabax,DB01256,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CSC4C[C@H]5CC[C@@H](C4)N5C)C,C30H47NO4S
11,amevive,DB00092,None,C2306H3594N610O694S26
12,apokyn,DB00714,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,C17H17NO2
13,aramine,DB00610,C[C@@H]([C@@H](C1=CC(=CC=C1)O)O)N,C9H13NO2
14,arava,DB01097,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,C12H9F3N2O2
15,arimidex,DB01217,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,C17H19N5
16,aspirin,DB00945,CC(=O)OC1=CC=CC=C1C(=O)O,C9H8O4
17,atacand,DB00796,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,C33H34N6O6
18,atrovent,DB00332,CC(C)[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,C20H30NO3
19,augmentin xr,DB00766,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O,C8H9NO5
20,avastin,DB00112,None,C6538H10034N1716O2033S44
21,avonex,DB00060,None,C908H1408N246O252S7
22,axert,DB00918,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,C17H25N3O2S
23,azopt,DB01194,CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,C12H21N3O5S3
24,accutane,DB00982,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,C20H28O2
25,activase,DB00009,None,C2569H3928N746O781S40
26,adenocard,DB00640,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,C10H13N5O4
27,advil,DB01050,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C13H18O2
28,agenerase,DB00701,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,C25H35N3O6S
29,aldomet,DB00968,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,C10H13NO4
30,aleve,DB00788,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C14H14O3
31,alupent,DB00816,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,C11H17NO3
32,anabolin,None,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,None
33,anadrol,DB06412,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C,C21H32O3
34,anafranil,DB01242,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,C19H23ClN2
35,anaprox,DB00788,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C14H14O3
36,anavar,DB00621,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C,C19H30O3
37,angiomax,DB00006,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](CC6=CC=CC=C6)N,C98H138N24O33
38,antabuse,DB00822,CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4
39,anticoagulant,DB00173,C1=NC2=NC=NC(=C2N1)N,C5H5N5
40,antizol,DB01213,CC1=CNN=C1,C4H6N2
41,aquamephyton,DB01022,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,C31H46O2
42,aralen,DB00608,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,C18H26ClN3
43,aripiprazole,DB01238,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,C23H27Cl2N3O2
44,asendin,DB00543,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,C17H16ClN3O
45,astramorph,DB00295,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,C17H19NO3
